,ID_ESCOLA,TX_RESP_Q019_F,TX_RESP_Q023_F,TX_RESP_Q013_C,TX_RESP_Q012_C,TX_RESP_Q014_C,IN_LABORATORIO_CIENCIAS,TX_RESP_Q012_B,IN_COMUM_EJA_FUND,IN_EJA,TX_RESP_Q042_B,TX_RESP_Q041_C,IN_COMUM_FUND_AF,TX_RESP_Q042_C,TX_RESP_Q004_F,TX_RESP_Q004_H,TX_RESP_Q004_G,Classe-IDEB
12,26086905,12.0,3.0,6.0,8.0,37.0,0.0,24.0,0.0,0.0,7.0,8.0,0.0,1.0,5.0,0.0,2.0,Acima da média
13,26087022,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Abaixo da média
14,26082020,1.0,2.0,4.0,2.0,18.0,0.0,25.0,1.0,1.0,14.0,27.0,1.0,11.0,13.0,15.0,5.0,Abaixo da média
15,26082179,6.0,3.0,5.0,6.0,21.0,1.0,22.0,0.0,0.0,4.0,6.0,0.0,0.0,5.0,0.0,0.0,Acima da média
16,26097117,12.0,8.0,3.0,0.0,17.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,Acima da média
17,26097249,1.0,1.0,1.0,0.0,5.0,0.0,8.0,1.0,1.0,6.0,6.0,0.0,2.0,1.0,2.0,2.0,Acima da média
18,26071924,5.0,2.0,2.0,1.0,22.0,0.0,19.0,0.0,1.0,13.0,14.0,0.0,1.0,5.0,6.0,4.0,Abaixo da média
19,26000024,3.0,2.0,1.0,3.0,11.0,1.0,17.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,Acima da média
20,26000636,3.0,1.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,4.0,7.0,1.0,0.0,3.0,1.0,3.0,Abaixo da média
21,26000741,3.0,2.0,5.0,0.0,15.0,1.0,31.0,1.0,1.0,8.0,3.0,1.0,3.0,8.0,0.0,1.0,Abaixo da média
22,26000792,0.0,0.0,2.0,0.0,1.0,0.0,11.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,Abaixo da média
23,26001225,4.0,0.0,3.0,1.0,3.0,0.0,6.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,Média
24,26001594,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,Abaixo da média
25,26001624,2.0,0.0,1.0,1.0,4.0,0.0,9.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,Abaixo da média
26,26001896,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,Abaixo da média
27,26179474,32.0,14.0,17.0,13.0,45.0,0.0,41.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,Acima da média
28,26024721,5.0,2.0,3.0,2.0,15.0,0.0,29.0,1.0,1.0,22.0,19.0,1.0,4.0,10.0,8.0,4.0,Abaixo da média
29,26024730,12.0,7.0,8.0,4.0,30.0,1.0,41.0,0.0,0.0,8.0,15.0,0.0,2.0,3.0,1.0,0.0,Acima da média
30,26024764,3.0,2.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0,6.0,11.0,1.0,4.0,5.0,1.0,3.0,Abaixo da média
31,26024802,4.0,2.0,3.0,5.0,14.0,1.0,22.0,1.0,1.0,11.0,8.0,1.0,4.0,6.0,9.0,3.0,Abaixo da média
32,26097354,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,Abaixo da média
33,26097370,0.0,2.0,0.0,0.0,2.0,1.0,6.0,1.0,1.0,5.0,10.0,1.0,2.0,7.0,2.0,2.0,Abaixo da média
34,26038935,3.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,1.0,3.0,5.0,1.0,2.0,3.0,1.0,0.0,Abaixo da média
35,26139120,1.0,1.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0,Abaixo da média
