ID_ESCOLA,TX_RESP_Q019_F,TX_RESP_Q023_F,TX_RESP_Q013_C,TX_RESP_Q012_C,TX_RESP_Q014_C,IN_LABORATORIO_CIENCIAS,TX_RESP_Q012_B,IN_COMUM_EJA_FUND,IN_EJA,TX_RESP_Q042_B,TX_RESP_Q041_C,IN_COMUM_FUND_AF,TX_RESP_Q042_C,TX_RESP_Q004_F,TX_RESP_Q004_H,TX_RESP_Q004_G,IDEB 2017,Classe-IDEB
26036266,1.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,4.0,Média
26138875,22.0,16.0,24.0,8.0,42.0,1.0,41.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.7,Acima da média
26018977,23.0,13.0,8.0,8.0,30.0,0.0,22.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.7,Acima da média
26132735,1.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,4.4,Acima da média
26107651,3.0,3.0,5.0,1.0,20.0,0.0,33.0,1.0,1.0,3.0,23.0,1.0,4.0,11.0,3.0,2.0,3.6,Abaixo da média
26119730,20.0,20.0,27.0,12.0,32.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.7,Acima da média
26120100,3.0,4.0,7.0,2.0,21.0,1.0,17.0,1.0,1.0,12.0,16.0,1.0,4.0,13.0,5.0,4.0,3.3,Abaixo da média
26120992,36.0,26.0,33.0,10.0,60.0,1.0,52.0,0.0,0.0,5.0,7.0,1.0,0.0,2.0,0.0,0.0,4.6,Acima da média
26121670,5.0,4.0,9.0,3.0,23.0,0.0,20.0,1.0,1.0,10.0,7.0,1.0,0.0,7.0,3.0,2.0,3.3,Abaixo da média
26121859,5.0,3.0,9.0,5.0,12.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.9,Abaixo da média
26122120,29.0,28.0,34.0,9.0,54.0,1.0,70.0,0.0,0.0,2.0,11.0,1.0,1.0,3.0,0.0,0.0,5.4,Acima da média
26122260,5.0,4.0,5.0,2.0,10.0,1.0,12.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.9,Abaixo da média
26122278,11.0,12.0,12.0,5.0,26.0,1.0,28.0,0.0,0.0,5.0,3.0,1.0,0.0,3.0,0.0,1.0,4.9,Acima da média
